,phase,value
0,3.275439133,-0.161045463
1,4.40141907,-0.935164199
2,0.551871442,0.618337803
3,3.822458396,-0.637292193
4,5.867322969,-0.414629133
5,2.09699417,0.913241447
6,1.516990018,1.005499606
7,1.51583009,0.975884103
8,0.821441305,0.741332524
9,1.822658105,0.917790652
10,2.302999605,0.844904686
11,0.762486234,0.676270339
12,3.889308951,-0.568331652
13,0.101132137,0.121236239
14,0.788675724,0.657212403
15,3.134354778,0.099211964
16,5.359905015,-0.806465477
17,0.533919149,0.542052237
18,1.412816511,1.029205146
19,4.552396797,-0.96267521
20,5.486173314,-0.671876868
21,3.413021312,-0.318606034
22,2.822439744,0.28459088
23,3.028790817,0.17879078
24,3.331571743,-0.122329649
25,5.824801495,-0.411218118
26,0.201678849,0.153587885
27,3.953438035,-0.711196682
28,4.375192957,-0.925392243
29,4.563430583,-1.046959592
30,4.158837243,-0.811505434
31,5.749345065,-0.486607431
32,4.466034914,-0.952614246
33,0.296860556,0.304172827
34,3.713659923,-0.499671119
35,3.74821086,-0.635354357
36,3.804766478,-0.60697126
37,0.420858145,0.380187842
38,4.521131581,-1.009471722
39,4.309724493,-0.892782335
40,1.447803424,1.051523554
41,0.126409098,0.140404228
42,1.159974952,0.896656955
43,4.679025006,-0.93923581
44,4.635538344,-1.145695798
45,3.514036379,-0.366805544
46,4.226602049,-0.842368386
47,5.568596386,-0.634418058
48,1.204472826,0.912137605
49,0.438263623,0.469865575